Team,Pos,Age,G,GS,MP,WS,WS/48,BPM,VORP,LEBRON,O-LEBRON,D-LEBRON,WAR,Season_End_Year,All_NBA_Target
PHI,C,22.0,81.0,81.0,1718.0,2.4,0.066,-1.9,0.0,-1.28,-2.54,1.26,1.16,2011,0
HOU,C,27.0,74.0,63.0,2079.0,6.3,0.146,1.9,2.1,1.41,-0.16,1.57,5.18,2011,0
UTA,SF,20.0,72.0,17.0,1218.0,1.2,0.048,-2.2,-0.1,-3.78,-1.66,-2.12,-1.18,2011,0
DAL,C,31.0,72.0,8.0,1331.0,2.9,0.104,-1.9,0.0,-0.94,-2.07,1.13,1.2,2011,0
SAC,PG,28.0,36.0,14.0,586.0,0.9,0.073,-0.7,0.2,-0.75,-0.25,-0.5,0.61,2011,0
CHA,SG,23.0,68.0,30.0,1661.0,2.4,0.068,-1.8,0.1,-0.69,-0.34,-0.35,1.79,2011,0
MEM,SG,19.0,38.0,16.0,527.0,0.2,0.021,-5.3,-0.4,-3.83,-2.34,-1.49,-0.53,2011,0
IND,C,24.0,81.0,80.0,2244.0,3.6,0.077,-1.1,0.5,0.12,-1.49,1.61,3.65,2011,0
SAS,PG,24.0,76.0,5.0,2148.0,6.1,0.136,0.8,1.5,0.56,1.1,-0.54,4.13,2011,0
PHO,SF,38.0,80.0,80.0,2409.0,4.4,0.087,-0.5,0.9,-0.59,-0.03,-0.56,2.75,2011,0
HOU,C,23.0,72.0,11.0,1125.0,1.8,0.079,-4.3,-0.7,-3.93,-2.79,-1.15,-1.2,2011,0
PHI,PG,20.0,82.0,82.0,2901.0,5.7,0.094,0.8,2.0,1.16,1.06,0.1,6.75,2011,0
CLE,C,26.0,70.0,16.0,1182.0,1.8,0.072,-4.3,-0.7,-1.73,-2.2,0.48,0.44,2011,0
ATL,C,24.0,77.0,77.0,2704.0,10.1,0.179,3.6,3.9,1.65,0.77,0.88,7.19,2011,1
MIA,SG,32.0,56.0,1.0,978.0,2.2,0.108,-0.3,0.4,-1.3,0.46,-1.77,0.65,2011,0
ORL,C,25.0,78.0,78.0,2935.0,14.4,0.235,5.3,5.4,6.56,2.17,4.39,16.84,2011,3
WAS,SF,30.0,18.0,10.0,409.0,-0.2,-0.027,-3.8,-0.2,-1.48,-0.99,-0.49,0.22,2011,0
MIA,PF,37.0,57.0,0.0,592.0,0.9,0.074,-3.5,-0.2,-2.76,-2.0,-0.76,-0.18,2011,0
NJN,PF,25.0,74.0,44.0,2061.0,5.4,0.125,0.4,1.3,1.33,-0.37,1.69,5.02,2011,0
OKC,PF,21.0,82.0,44.0,2216.0,7.6,0.164,0.5,1.4,0.69,-0.54,1.23,4.46,2011,0
PHI,SF,27.0,67.0,67.0,2469.0,6.7,0.13,3.2,3.2,2.92,0.91,2.01,8.64,2011,0
MIA,C,35.0,72.0,51.0,1145.0,2.9,0.122,-2.7,-0.2,-1.06,-1.83,0.77,0.94,2011,0
CHA,SG,32.0,67.0,67.0,2405.0,1.9,0.039,-0.5,0.9,-1.65,-0.73,-0.92,1.03,2011,0
